id,name,rating,ts,stdev,game wins,game losses,set wins,set losses
203624088420352001,Shmeeli#1297,20.87611737266384,26.855557872117195,1.993146833151119,3,2,2,5
837794320953507840,shmeeli2#8929,17.16500162842944,23.144442127882797,1.993146833151119,2,3,6,3
780034677238661150,somedude266#5635,0.0,25.0,6.458,0,0,0,0
